"","ID1","ID2","kin","k0","k2","nsnp"
"3862","NA19200","NA19210",-0.00680848052310387,1.05940787327148,0.0321739511790625,2759270
"3863","NA19200","NA19211",-0.00337862281770295,1.04126836664684,0.0277538753760273,2747622
"3864","NA19200","NA19221",-0.0120996208674878,1.05151154851111,0.00311306504115456,2796478
"3865","NA19200","NA19222",-0.0135516664366513,1.05354785420951,-0.000658811537100287,2787313
"3866","NA19200","NA19223",-0.00762083948301223,1.0586853990119,0.0282020410798495,2750034
"3867","NA19200","NA19238",-0.00266739804334249,1.01391853589306,0.00324894371968679,2680764
"3868","NA19200","NA19239",0.00318119282784958,1.0159765613549,0.0287013326662968,2662733
"3869","NA19200","NA19240",-0.00185663281155442,1.00649680175994,-0.000929729486275789,2688099
"3870","NA19201","NA19202",0.217659065270645,0.0112468718645525,-0.0172656599591951,2684012
"3871","NA19201","NA19203",-0.00461066043957634,1.01908622565946,0.000643583901153726,2621061
"3872","NA19201","NA19204",0.0136990831365955,0.943939329728919,-0.00126433772469921,2441351
"3873","NA19201","NA19205",0.00824869287549394,0.963636080935566,-0.00336914756245863,2544288
"3874","NA19201","NA19206",-0.00269655693075988,1.00603307773883,-0.00475314998421305,2653808
"3875","NA19201","NA19207",0.00347222353750365,0.9851461820448,-0.000964923805185438,2549350
"3876","NA19201","NA19208",-0.00124875196768871,1.00212121644004,-0.00287379143071658,2611303
"3877","NA19201","NA19209",0.015474943981193,0.938763781786168,0.000663557710939782,2546678
"3878","NA19201","NA19210",0.00385617544804233,0.986219745426379,0.00164444721854832,2604714
"3879","NA19201","NA19211",0.0142978299657792,0.939415041577115,-0.00339363855976855,2581997
"3880","NA19201","NA19221",-0.0198870363046385,1.07806676200614,-0.00148138321241879,2648032
"3881","NA19201","NA19222",-0.0201767814190654,1.079218204177,-0.00148892149925857,2666891
"3882","NA19201","NA19223",-0.0115575993552421,1.04515899525613,-0.00107140216483738,2601146
"3883","NA19201","NA19238",0.0183646934985853,0.925886015291756,-0.000655210713902405,2515364
"3884","NA19201","NA19239",0.0233225255953411,0.909288284318203,0.0025783866995676,2491377
"3885","NA19201","NA19240",0.0267396472467359,0.894218359977027,0.00117694896397093,2519334
"3886","NA19202","NA19203",-0.0109780849147853,1.04740809566076,0.00349575600161952,2724196
"3887","NA19202","NA19204",0.0124117583395157,0.951641756712438,0.00128879007050059,2548681
"3888","NA19202","NA19205",0.00225568128099196,0.989406089428526,-0.00157118544750653,2649347
"3889","NA19202","NA19206",-0.0112112540402383,1.04722607324831,0.00238105708736043,2766772
"3890","NA19202","NA19207",0.00410828883172037,0.985654065204792,0.00208722053167335,2661782
"3891","NA19202","NA19208",-0.00414843239955933,1.01481937211046,-0.00177435748777668,2724088
"3892","NA19202","NA19209",0.0101672648929411,0.960566784639505,0.00123584421126894,2661012
"3893","NA19202","NA19210",-0.00358406157278954,1.01450790967497,0.000171663383815553,2713221
