i	j	kin	ibd0	ibd1	ibd2
{"s":"NA18501"}	{"s":"NA18515"}	-5.1674e-03	1.0527e+00	-8.4786e-02	3.2059e-02
{"s":"NA18501"}	{"s":"NA18516"}	-9.4124e-03	1.0698e+00	-1.0189e-01	3.2120e-02
{"s":"NA18501"}	{"s":"NA18517"}	3.0935e-03	9.9167e-01	4.2793e-03	4.0473e-03
{"s":"NA18501"}	{"s":"NA18521"}	1.9431e-02	9.5553e-01	1.1208e-02	3.3259e-02
{"s":"NA18501"}	{"s":"NA18522"}	3.5410e-02	8.9538e-01	6.7607e-02	3.7016e-02
{"s":"NA18501"}	{"s":"NA18523"}	-3.3397e-03	1.0159e+00	-1.8408e-02	2.5248e-03
{"s":"NA18501"}	{"s":"NA18852"}	4.1949e-03	9.8719e-01	8.8325e-03	3.9736e-03
{"s":"NA18501"}	{"s":"NA18853"}	-9.4544e-03	1.0733e+00	-1.0880e-01	3.5491e-02
{"s":"NA18501"}	{"s":"NA18854"}	-5.7364e-03	1.0557e+00	-8.8502e-02	3.2778e-02
{"s":"NA18501"}	{"s":"NA18855"}	1.5548e-02	9.4168e-01	5.4443e-02	3.8751e-03
{"s":"NA18501"}	{"s":"NA18856"}	-1.9120e-02	1.1093e+00	-1.4218e-01	3.2847e-02
{"s":"NA18501"}	{"s":"NA18857"}	-1.2889e-03	1.0360e+00	-6.6927e-02	3.0886e-02
{"s":"NA18501"}	{"s":"NA18858"}	-1.1323e-02	1.0516e+00	-5.7876e-02	6.2921e-03
{"s":"NA18501"}	{"s":"NA18859"}	1.5898e-02	9.7077e-01	-5.1374e-03	3.4365e-02
{"s":"NA18501"}	{"s":"NA18860"}	3.1525e-03	1.0172e+00	-4.7090e-02	2.9850e-02
{"s":"NA18501"}	{"s":"NA18861"}	7.2715e-03	9.7816e-01	1.4585e-02	7.2504e-03
{"s":"NA18501"}	{"s":"NA18862"}	-1.3150e-02	1.0796e+00	-1.0657e-01	2.6986e-02
{"s":"NA18501"}	{"s":"NA18863"}	-4.0536e-03	1.0498e+00	-8.3478e-02	3.3632e-02
{"s":"NA18501"}	{"s":"NA18870"}	-1.7731e-02	1.0699e+00	-6.8811e-02	-1.0553e-03
{"s":"NA18501"}	{"s":"NA18871"}	1.7293e-02	9.6713e-01	-3.4424e-03	3.6308e-02
{"s":"NA18501"}	{"s":"NA18872"}	-3.1372e-04	1.0314e+00	-6.1482e-02	3.0114e-02
{"s":"NA18501"}	{"s":"NA18912"}	-1.0324e-02	1.0433e+00	-4.5237e-02	1.9713e-03
{"s":"NA18501"}	{"s":"NA18913"}	-4.8303e-02	1.2250e+00	-2.5687e-01	3.1832e-02
{"s":"NA18501"}	{"s":"NA18914"}	-3.7717e-02	1.1841e+00	-2.1734e-01	3.3237e-02
{"s":"NA18501"}	{"s":"NA19092"}	2.0707e-03	1.0236e+00	-5.5528e-02	3.1905e-02
{"s":"NA18501"}	{"s":"NA19093"}	2.2976e-03	9.9537e-01	7.3837e-05	4.5582e-03
{"s":"NA18501"}	{"s":"NA19094"}	5.4768e-03	9.8089e-01	1.6310e-02	2.7989e-03
{"s":"NA18501"}	{"s":"NA19098"}	1.9581e-02	9.5266e-01	1.6357e-02	3.0984e-02
{"s":"NA18501"}	{"s":"NA19099"}	4.0652e-02	8.4532e-01	1.4676e-01	7.9244e-03
{"s":"NA18501"}	{"s":"NA19100"}	3.8113e-02	8.5122e-01	1.4511e-01	3.6699e-03
{"s":"NA18501"}	{"s":"NA19101"}	1.2988e-02	9.8314e-01	-1.8240e-02	3.5095e-02
{"s":"NA18501"}	{"s":"NA19102"}	3.3327e-02	8.7176e-01	1.2317e-01	5.0699e-03
{"s":"NA18501"}	{"s":"NA19103"}	3.1238e-02	9.0685e-01	6.1354e-02	3.1799e-02
{"s":"NA18501"}	{"s":"NA19116"}	2.1457e-04	9.9765e-01	3.8489e-03	-1.4953e-03
{"s":"NA18501"}	{"s":"NA19119"}	8.0833e-04	1.0257e+00	-5.4577e-02	2.8905e-02
{"s":"NA18501"}	{"s":"NA19120"}	-2.5263e-04	1.0333e+00	-6.5670e-02	3.2330e-02
{"s":"NA18501"}	{"s":"NA19127"}	2.8604e-04	1.0002e+00	-1.5395e-03	1.3419e-03
{"s":"NA18501"}	{"s":"NA19128"}	1.8404e-02	9.6093e-01	4.5338e-03	3.4540e-02
{"s":"NA18501"}	{"s":"NA19129"}	1.1626e-02	9.5665e-01	4.0198e-02	3.1536e-03
{"s":"NA18501"}	{"s":"NA19130"}	-1.0663e-02	1.0733e+00	-1.0398e-01	3.0666e-02
{"s":"NA18501"}	{"s":"NA19131"}	5.7370e-03	9.8225e-01	1.2558e-02	5.1952e-03
{"s":"NA18501"}	{"s":"NA19132"}	-7.1583e-04	1.0040e+00	-5.0788e-03	1.1077e-03
{"s":"NA18501"}	{"s":"NA19137"}	-4.1016e-03	1.0221e+00	-2.7726e-02	5.6597e-03
{"s":"NA18501"}	{"s":"NA19138"}	-1.4074e-02	1.0917e+00	-1.2701e-01	3.5356e-02
{"s":"NA18501"}	{"s":"NA19139"}	-1.3570e-02	1.0903e+00	-1.2642e-01	3.6069e-02
{"s":"NA18501"}	{"s":"NA19140"}	-1.7975e-02	1.0715e+00	-7.1174e-02	-3.6222e-04
{"s":"NA18501"}	{"s":"NA19141"}	-4.5227e-02	1.2158e+00	-2.5071e-01	3.4899e-02
{"s":"NA18501"}	{"s":"NA19142"}	-4.0523e-02	1.1954e+00	-2.2874e-01	3.3324e-02
{"s":"NA18501"}	{"s":"NA19143"}	-2.3376e-02	1.0966e+00	-9.9655e-02	3.0761e-03
{"s":"NA18501"}	{"s":"NA19144"}	-3.3900e-02	1.1636e+00	-1.9159e-01	2.7992e-02
{"s":"NA18501"}	{"s":"NA19145"}	-3.5587e-02	1.1780e+00	-2.1363e-01	3.5641e-02
{"s":"NA18501"}	{"s":"NA19152"}	-3.6832e-02	1.1438e+00	-1.4020e-01	-3.5653e-03
{"s":"NA18501"}	{"s":"NA19153"}	-1.6615e-03	1.0340e+00	-6.1355e-02	2.7355e-02
